N, C++, Python, Meine Sprache
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,1,0
16,0,0,0
17,0,0,0
18,0,1,0
19,0,1,0
20,0,1,0
21,0,3,0
22,0,4,0
23,0,6,0
24,0,11,1
25,0,16,0
26,0,28,1
27,1,44,0
28,1,71,1
29,2,118,1
30,2,186,3
31,4,306,4
32,6,482,9
33,12,790,9
34,18,1279,26
35,28,2052,43
36,48,3317,70
37,72,5377,70
38,113,8778,107
39,181,14077,175
40,296,23514,280
41,472,37287,448
42,770,60725,768
43,1284,97050,1188
44,2049,NaN,2054
45,3262,NaN,3204
46,5248,NaN,5166
47,8501,NaN,8323
48,13822,NaN,13506
49,22488,NaN,21675
50,36100,NaN,36085